部件報告

測量設定資料名,2025最新版本-6880-大尾巴-完整Set-軟墊量測
測量日期及時間,2026/1/8 下午 04:43:19
批號,
串列計數器,C2V186SP-688V30S0147
擔當者,
商品名,
測量機器,KEYENCE LM-X Series(DESKTOP-O5ESJ05)
綜合判定,NG
備註,

＜測量結果＞
No,測量專案,實測值,單位,設計值,上限公差,下限公差,判斷
130,no.8座標[Y座標],58.791,mm,58.755,0.050,-0.050,OK,
131,no.9座標[X座標],9.511,mm,9.700,0.050,-0.050,NG,
131,no.9座標[Y座標],64.784,mm,64.755,0.050,-0.050,OK,
132,no.10座標[X座標],9.537,mm,9.700,0.050,-0.050,NG,
132,no.10座標[Y座標],70.775,mm,70.755,0.050,-0.050,OK,
133,no.11座標[X座標],9.576,mm,9.700,0.050,-0.050,NG,
133,no.11座標[Y座標],76.762,mm,76.755,0.050,-0.050,OK,
134,no.12座標[X座標],9.648,mm,9.700,0.050,-0.050,NG,
134,no.12座標[Y座標],82.756,mm,82.755,0.050,-0.050,OK,
135,no.13座標[X座標],15.984,mm,16.000,0.050,-0.050,OK,
135,no.13座標[Y座標],86.992,mm,87.005,0.050,-0.050,OK,
136,no.14座標[X座標],21.979,mm,22.000,0.050,-0.050,OK,
136,no.14座標[Y座標],87.015,mm,87.005,0.050,-0.050,OK,
137,no.15座標[X座標],27.972,mm,28.000,0.050,-0.050,OK,
137,no.15座標[Y座標],87.029,mm,87.005,0.050,-0.050,OK,
138,no.16座標[X座標],33.949,mm,34.000,0.050,-0.050,NG,
138,no.16座標[Y座標],87.045,mm,87.005,0.050,-0.050,OK,
139,no.17座標[X座標],39.931,mm,40.000,0.050,-0.050,NG,
139,no.17座標[Y座標],87.053,mm,87.005,0.050,-0.050,OK,
140,no.18座標[X座標],45.915,mm,46.000,0.050,-0.050,NG,
140,no.18座標[Y座標],87.065,mm,87.005,0.050,-0.050,NG,
141,no.19座標[X座標],51.896,mm,52.000,0.050,-0.050,NG,
141,no.19座標[Y座標],87.073,mm,87.005,0.050,-0.050,NG,
142,no.20座標[X座標],57.884,mm,58.000,0.050,-0.050,NG,
142,no.20座標[Y座標],87.078,mm,87.005,0.050,-0.050,NG,
143,no.21座標[X座標],63.877,mm,64.000,0.050,-0.050,NG,
143,no.21座標[Y座標],87.080,mm,87.005,0.050,-0.050,NG,
144,no.22座標[X座標],69.873,mm,70.000,0.050,-0.050,NG,
144,no.22座標[Y座標],87.079,mm,87.005,0.050,-0.050,NG,
145,no.23座標[X座標],75.858,mm,76.000,0.050,-0.050,NG,
145,no.23座標[Y座標],87.073,mm,87.005,0.050,-0.050,NG,
146,no.24座標[X座標],81.844,mm,82.000,0.050,-0.050,NG,
146,no.24座標[Y座標],87.049,mm,87.005,0.050,-0.050,OK,
147,no.25座標[X座標],87.826,mm,88.000,0.050,-0.050,NG,
147,no.25座標[Y座標],87.041,mm,87.005,0.050,-0.050,OK,
148,no.26座標[X座標],93.817,mm,94.000,0.050,-0.050,NG,
148,no.26座標[Y座標],87.025,mm,87.005,0.050,-0.050,OK,
149,no.27座標[X座標],99.810,mm,100.000,0.050,-0.050,NG,
149,no.27座標[Y座標],87.011,mm,87.005,0.050,-0.050,OK,
150,no.28座標[X座標],105.801,mm,106.000,0.050,-0.050,NG,
150,no.28座標[Y座標],86.985,mm,87.005,0.050,-0.050,OK,
151,no.29座標[X座標],111.789,mm,112.000,0.050,-0.050,NG,
151,no.29座標[Y座標],86.955,mm,87.005,0.050,-0.050,OK,
152,no.30座標[X座標],117.798,mm,118.000,0.050,-0.050,NG,
152,no.30座標[Y座標],86.909,mm,87.005,0.050,-0.050,NG,
153,no.31座標[X座標],124.108,mm,124.300,0.050,-0.050,NG,
153,no.31座標[Y座標],82.606,mm,82.755,0.050,-0.050,NG,
154,no.32座標[X座標],124.133,mm,124.300,0.050,-0.050,NG,
154,no.32座標[Y座標],76.625,mm,76.755,0.050,-0.050,NG,
155,no.33座標[X座標],124.146,mm,124.300,0.050,-0.050,NG,
155,no.33座標[Y座標],70.608,mm,70.755,0.050,-0.050,NG,
156,no.34座標[X座標],124.162,mm,124.300,0.050,-0.050,NG,
156,no.34座標[Y座標],64.611,mm,64.755,0.050,-0.050,NG,
157,no.35座標[X座標],124.166,mm,124.300,0.050,-0.050,NG,
157,no.35座標[Y座標],58.620,mm,58.755,0.050,-0.050,NG,
158,no.36座標[X座標],124.171,mm,124.300,0.050,-0.050,NG,
158,no.36座標[Y座標],52.631,mm,52.755,0.050,-0.050,NG,
159,no.37座標[X座標],124.169,mm,124.300,0.050,-0.050,NG,
159,no.37座標[Y座標],46.636,mm,46.755,0.050,-0.050,NG,
160,no.38座標[X座標],124.162,mm,124.300,0.050,-0.050,NG,
160,no.38座標[Y座標],40.651,mm,40.755,0.050,-0.050,NG,
161,no.39座標[X座標],124.147,mm,124.300,0.050,-0.050,NG,
161,no.39座標[Y座標],34.652,mm,34.755,0.050,-0.050,NG,
162,no.40座標[X座標],124.156,mm,124.300,0.050,-0.050,NG,
162,no.40座標[Y座標],28.663,mm,28.755,0.050,-0.050,NG,
163,no.41座標[X座標],124.144,mm,124.300,0.050,-0.050,NG,
163,no.41座標[Y座標],22.676,mm,22.755,0.050,-0.050,NG,
164,no.42座標[X座標],124.089,mm,124.300,0.050,-0.050,NG,
164,no.42座標[Y座標],16.674,mm,16.755,0.050,-0.050,NG,
165,no.43座標[X座標],117.743,mm,118.000,0.050,-0.050,NG,
165,no.43座標[Y座標],12.462,mm,12.505,0.050,-0.050,OK,
166,no.44座標[X座標],111.729,mm,112.000,0.050,-0.050,NG,
166,no.44座標[Y座標],12.450,mm,12.505,0.050,-0.050,NG,
167,no.45座標[X座標],105.723,mm,106.000,0.050,-0.050,NG,
167,no.45座標[Y座標],12.437,mm,12.505,0.050,-0.050,NG,
168,no.46座標[X座標],99.724,mm,100.000,0.050,-0.050,NG,
168,no.46座標[Y座標],12.438,mm,12.505,0.050,-0.050,NG,
169,no.47座標[X座標],93.727,mm,94.000,0.050,-0.050,NG,
169,no.47座標[Y座標],12.440,mm,12.505,0.050,-0.050,NG,
170,no.48座標[X座標],87.728,mm,88.000,0.050,-0.050,NG,
170,no.48座標[Y座標],12.444,mm,12.505,0.050,-0.050,NG,
171,no.49座標[X座標],81.732,mm,82.000,0.050,-0.050,NG,
171,no.49座標[Y座標],12.447,mm,12.505,0.050,-0.050,NG,
172,no.50座標[X座標],75.740,mm,76.000,0.050,-0.050,NG,
172,no.50座標[Y座標],12.447,mm,12.505,0.050,-0.050,NG,
173,no.51座標[X座標],69.742,mm,70.000,0.050,-0.050,NG,
173,no.51座標[Y座標],12.443,mm,12.505,0.050,-0.050,NG,
174,no.52座標[X座標],63.733,mm,64.000,0.050,-0.050,NG,
174,no.52座標[Y座標],12.451,mm,12.505,0.050,-0.050,NG,
175,no.53座標[X座標],57.746,mm,58.000,0.050,-0.050,NG,
175,no.53座標[Y座標],12.472,mm,12.505,0.050,-0.050,OK,
176,no.54座標[X座標],51.747,mm,52.000,0.050,-0.050,NG,
176,no.54座標[Y座標],12.482,mm,12.505,0.050,-0.050,OK,
177,no.55座標[X座標],45.764,mm,46.000,0.050,-0.050,NG,
177,no.55座標[Y座標],12.501,mm,12.505,0.050,-0.050,OK,
178,no.56座標[X座標],39.765,mm,40.000,0.050,-0.050,NG,
178,no.56座標[Y座標],12.518,mm,12.505,0.050,-0.050,OK,
179,no.57座標[X座標],33.783,mm,34.000,0.050,-0.050,NG,
179,no.57座標[Y座標],12.527,mm,12.505,0.050,-0.050,OK,
180,no.58座標[X座標],27.796,mm,28.000,0.050,-0.050,NG,
180,no.58座標[Y座標],12.515,mm,12.505,0.050,-0.050,OK,
181,no.59座標[X座標],21.812,mm,22.000,0.050,-0.050,NG,
181,no.59座標[Y座標],12.519,mm,12.505,0.050,-0.050,OK,
182,no.60座標[X座標],15.827,mm,16.000,0.050,-0.050,NG,
182,no.60座標[Y座標],12.537,mm,12.505,0.050,-0.050,OK,
183,熱壓模組厚度1,4.081,mm,4.060,0.050,-0.050,OK,
184,熱壓模組厚度2,4.037,mm,4.060,0.050,-0.050,OK,
185,熱壓模組厚度3,4.095,mm,4.060,0.050,-0.050,OK,
186,熱壓模組厚度4,4.083,mm,4.060,0.050,-0.050,OK,
